chr	start	end	txplus	txminus
1	69091	70008	1	0
1	367659	622034	0	0
1	367659	622034	0	0
1	367659	622034	0	0
1	861121	879961	1	0
1	879584	894679	0	1
1	895967	901095	1	0
1	901877	910482	1	0
1	934342	935552	0	1
1	948847	949915	1	0
1	955503	991492	1	0
1	1017198	1051736	0	1
1	1109286	1133313	1	0
1	1138889	1142089	0	1
1	1146707	1149512	0	1
1	1152289	1167447	0	1
1	1167629	1170418	1	0
1	1177833	1182102	0	1
1	1189294	1209234	0	1
1	1217489	1227409	1	0
1	1227764	1243269	0	1
1	1243994	1247056	1	0
1	1246965	1260046	0	1
1	1260143	1264275	1	0
1	1266726	1269843	1	0
1	1270659	1284492	0	1
1	1288072	1293915	0	1
1	1309110	1310818	0	1
1	1321091	1334718	0	1
1	1337277	1342693	0	1
1	1353802	1356650	0	1
1	1361508	1363166	1	0
1	1370903	1378261	1	0
1	1385069	1405538	1	0
1	1407164	1431581	1	0
1	1447523	1470067	1	0
1	1470159	1475740	0	1
1	1477054	1510262	0	1
1	1550795	1565990	1	0
1	1567560	1570029	1	0
1	1571100	1655775	0	1
1	1592940	1677431	0	1
1	1634172	1655791	0	1
1	1682678	1709909	0	1
1	1716730	1822495	0	1
1	1846266	1848733	1	0
1	1849029	1850740	0	1
1	1884752	1935276	0	1
1	1950768	1962192	1	0
1	1981909	2116832	1	0
1	2115900	2139172	0	1
1	2160134	2241651	1	0
1	2252696	2322993	0	1
1	2323214	2336881	1	0
1	2336243	2344010	0	1
1	2407754	2436964	1	0
1	2439975	2458035	0	1
1	2460185	2461684	0	1
1	2487805	2495265	1	0
1	2518249	2522902	1	0
1	2522081	2564481	0	1
1	2938046	2939465	1	0
1	2985742	3355183	1	0
1	3371147	3397675	1	0
1	3404513	3528059	0	1
1	3541556	3546692	1	0
1	3547332	3566671	0	1
1	3569129	3650467	1	0
1	3652550	3663886	0	1
1	3668965	3688209	1	0
1	3689352	3692545	1	0
1	3696784	3713068	0	1
1	3728645	3773797	0	1
1	3773845	3801992	1	0
