chr	start	end	replication_timing	is_left	is_right
1	1	100000	6.279740e+02	0	0
1	100001	200000	7.491411e+02	0	0
1	200001	300000	NaN	0	0
1	300001	400000	NaN	0	0
1	400001	500000	NaN	0	0
1	500001	600000	NaN	0	0
1	600001	700000	NaN	0	0
1	700001	800000	NaN	0	0
1	800001	900000	3.376126e+02	0	0
1	900001	1000000	1.949622e+02	0	0
1	1000001	1100000	1.040404e+02	0	0
1	1100001	1200000	7.955904e+01	1	0
1	1200001	1300000	9.222016e+01	0	0
1	1300001	1400000	9.913025e+01	0	0
1	1400001	1500000	1.067028e+02	0	1
1	1500001	1600000	1.550873e+02	0	0
1	1600001	1700000	2.321351e+02	0	0
1	1700001	1800000	2.894461e+02	0	0
1	1800001	1900000	2.377371e+02	0	0
1	1900001	2000000	1.240407e+02	0	0
1	2000001	2100000	1.063578e+02	0	0
1	2100001	2200000	1.253192e+02	0	0
1	2200001	2300000	1.179725e+02	0	0
1	2300001	2400000	1.148571e+02	0	1
1	2400001	2500000	1.515784e+02	0	1
1	2500001	2600000	2.027388e+02	0	1
1	2600001	2700000	1.418966e+02	0	1
1	2700001	2800000	3.746992e+02	0	1
1	2800001	2900000	4.679779e+02	0	1
1	2900001	3000000	5.574686e+02	0	1
1	3000001	3100000	5.757387e+02	0	0
1	3100001	3200000	5.366152e+02	1	0
1	3200001	3300000	4.849120e+02	1	0
1	3300001	3400000	4.145490e+02	1	0
1	3400001	3500000	3.342280e+02	0	0
1	3500001	3600000	3.217456e+02	0	0
1	3600001	3700000	3.585803e+02	0	0
1	3700001	3800000	4.076239e+02	0	0
1	3800001	3900000	4.788272e+02	0	1
1	3900001	4000000	NaN	0	1
1	4000001	4100000	3.477784e+02	0	1
1	4100001	4200000	4.877566e+02	0	1
1	4200001	4300000	6.371473e+02	0	1
1	4300001	4400000	7.374901e+02	0	1
1	4400001	4500000	7.980827e+02	0	1
1	4500001	4600000	8.454335e+02	0	1
1	4600001	4700000	8.733396e+02	0	1
1	4700001	4800000	8.528593e+02	0	0
1	4800001	4900000	8.564477e+02	0	0
1	4900001	5000000	9.147807e+02	0	0
1	5000001	5100000	9.471405e+02	0	0
1	5100001	5200000	9.530105e+02	0	0
1	5200001	5300000	9.250159e+02	1	0
1	5300001	5400000	8.735589e+02	1	0
1	5400001	5500000	8.196064e+02	1	0
1	5500001	5600000	7.327386e+02	1	0
1	5600001	5700000	7.143931e+02	1	0
1	5700001	5800000	6.847704e+02	1	0
1	5800001	5900000	5.416212e+02	1	0
1	5900001	6000000	3.737921e+02	1	0
1	6000001	6100000	2.971414e+02	1	0
1	6100001	6200000	2.249516e+02	1	0
1	6200001	6300000	1.455388e+02	1	0
1	6300001	6400000	1.209799e+02	0	0
1	6400001	6500000	1.348458e+02	0	0
1	6500001	6600000	1.488253e+02	0	1
1	6600001	6700000	2.023393e+02	0	1
1	6700001	6800000	2.789662e+02	0	1
1	6800001	6900000	3.276143e+02	0	1
1	6900001	7000000	3.587136e+02	0	1
1	7000001	7100000	3.715448e+02	0	1
1	7100001	7200000	4.473024e+02	0	1
1	7200001	7300000	5.606540e+02	0	1
1	7300001	7400000	6.490617e+02	0	0
1	7400001	7500000	6.743792e+02	0	0
1	7500001	7600000	6.142093e+02	1	0
1	7600001	7700000	5.268985e+02	1	0
1	7700001	7800000	4.590637e+02	1	0
1	7800001	7900000	4.604555e+02	1	0
1	7900001	8000000	4.460391e+02	0	0
1	8000001	8100000	4.074977e+02	0	0
1	8100001	8200000	4.017811e+02	0	0
1	8200001	8300000	3.709713e+02	0	0
1	8300001	8400000	3.372502e+02	0	0
1	8400001	8500000	3.407448e+02	0	0
1	8500001	8600000	3.660736e+02	0	0
1	8600001	8700000	3.704670e+02	0	0
1	8700001	8800000	3.437110e+02	1	0
1	8800001	8900000	2.755613e+02	0	0
1	8900001	9000000	1.921443e+02	0	0
1	9000001	9100000	1.847606e+02	0	0
1	9100001	9200000	2.198081e+02	0	0
1	9200001	9300000	2.375983e+02	0	0
1	9300001	9400000	2.026332e+02	0	0
1	9400001	9500000	1.287192e+02	0	0
1	9500001	9600000	1.396176e+02	0	0
1	9600001	9700000	1.984687e+02	0	0
1	9700001	9800000	2.122884e+02	0	0
1	9800001	9900000	2.083920e+02	0	0
1	9900001	10000000	2.010615e+02	0	0
1	10000001	10100000	2.079314e+02	0	0
1	10100001	10200000	2.256270e+02	0	0
1	10200001	10300000	2.425909e+02	0	0
1	10300001	10400000	2.720707e+02	0	0
1	10400001	10500000	2.650372e+02	0	0
1	10500001	10600000	2.638124e+02	0	0
1	10600001	10700000	2.738404e+02	0	0
1	10700001	10800000	2.097235e+02	0	0
1	10800001	10900000	1.614408e+02	0	0
1	10900001	11000000	1.444922e+02	0	0
1	11000001	11100000	1.573904e+02	0	0
1	11100001	11200000	2.008517e+02	0	0
1	11200001	11300000	2.652265e+02	0	0
1	11300001	11400000	2.786616e+02	0	0
1	11400001	11500000	2.351690e+02	0	0
1	11500001	11600000	2.257139e+02	0	0
1	11600001	11700000	1.987186e+02	0	0
1	11700001	11800000	1.788526e+02	0	0
1	11800001	11900000	1.846330e+02	0	0
1	11900001	12000000	1.943365e+02	0	0
1	12000001	12100000	2.034800e+02	0	0
1	12100001	12200000	2.224471e+02	0	0
1	12200001	12300000	2.183047e+02	0	0
1	12300001	12400000	2.382851e+02	0	0
1	12400001	12500000	2.514364e+02	0	0
1	12500001	12600000	2.276369e+02	0	1
1	12600001	12700000	2.181085e+02	0	1
1	12700001	12800000	2.744580e+02	0	1
1	12800001	12900000	3.997676e+02	0	1
1	12900001	13000000	5.115616e+02	0	1
1	13000001	13100000	5.681249e+02	0	0
1	13100001	13200000	9.338505e+02	0	0
1	13200001	13300000	6.471684e+02	0	0
1	13300001	13400000	NaN	0	0
1	13400001	13500000	NaN	0	0
1	13500001	13600000	NaN	0	0
1	13600001	13700000	NaN	0	0
1	13700001	13800000	4.433342e+02	0	0
1	13800001	13900000	4.756753e+02	0	0
1	13900001	14000000	4.959998e+02	0	0
1	14000001	14100000	5.011851e+02	0	0
1	14100001	14200000	4.987511e+02	0	1
1	14200001	14300000	5.082776e+02	0	1
1	14300001	14400000	5.651337e+02	0	1
1	14400001	14500000	6.443536e+02	0	1
1	14500001	14600000	7.355456e+02	0	1
1	14600001	14700000	7.953170e+02	0	0
1	14700001	14800000	7.790359e+02	0	0
1	14800001	14900000	7.174080e+02	0	0
1	14900001	15000000	6.909411e+02	1	0
1	15000001	15100000	6.758129e+02	1	0
1	15100001	15200000	6.648311e+02	1	0
1	15200001	15300000	6.157282e+02	1	0
1	15300001	15400000	5.129968e+02	1	0
1	15400001	15500000	4.162685e+02	1	0
1	15500001	15600000	3.387900e+02	1	0
1	15600001	15700000	2.998773e+02	1	0
1	15700001	15800000	2.708406e+02	0	0
1	15800001	15900000	2.750495e+02	0	0
1	15900001	16000000	3.108481e+02	0	0
1	16000001	16100000	2.923777e+02	0	0
1	16100001	16200000	2.753466e+02	0	0
1	16200001	16300000	2.937963e+02	0	0
1	16300001	16400000	2.445735e+02	0	0
1	16400001	16500000	1.523139e+02	0	0
1	16500001	16600000	1.688467e+02	0	0
1	16600001	16700000	2.319793e+02	0	0
1	16700001	16800000	2.458912e+02	0	0
1	16800001	16900000	2.473298e+02	0	1
1	16900001	17000000	2.970971e+02	0	1
1	17000001	17100000	3.088748e+02	0	0
1	17100001	17200000	2.588337e+02	0	0
1	17200001	17300000	5.110307e+02	0	0
1	17300001	17400000	4.190256e+02	0	0
1	17400001	17500000	3.367133e+02	0	0
1	17500001	17600000	3.302012e+02	0	0
1	17600001	17700000	3.412549e+02	0	0
1	17700001	17800000	3.619208e+02	0	1
1	17800001	17900000	4.069778e+02	0	1
1	17900001	18000000	4.577457e+02	0	1
1	18000001	18100000	5.017990e+02	0	1
1	18100001	18200000	5.852703e+02	0	1
1	18200001	18300000	6.678780e+02	0	1
1	18300001	18400000	7.104678e+02	0	0
1	18400001	18500000	6.995551e+02	0	0
1	18500001	18600000	6.617521e+02	0	0
1	18600001	18700000	6.516369e+02	1	0
1	18700001	18800000	6.820488e+02	1	0
1	18800001	18900000	6.680352e+02	1	0
1	18900001	19000000	5.626268e+02	1	0
1	19000001	19100000	4.298138e+02	1	0
1	19100001	19200000	3.511269e+02	1	0
1	19200001	19300000	2.886051e+02	1	0
1	19300001	19400000	2.843405e+02	0	0
1	19400001	19500000	3.088886e+02	0	0
1	19500001	19600000	3.234098e+02	0	0
1	19600001	19700000	3.221120e+02	0	0
1	19700001	19800000	3.049450e+02	0	0
1	19800001	19900000	2.553590e+02	0	0
1	19900001	20000000	2.184272e+02	0	0
1	20000001	20100000	2.314318e+02	0	0
1	20100001	20200000	2.880537e+02	0	1
1	20200001	20300000	3.798013e+02	0	1
1	20300001	20400000	4.194672e+02	0	1
1	20400001	20500000	4.327217e+02	0	0
1	20500001	20600000	4.583015e+02	0	0
1	20600001	20700000	4.889304e+02	0	0
1	20700001	20800000	4.603967e+02	0	0
1	20800001	20900000	3.895471e+02	0	0
1	20900001	21000000	3.362788e+02	0	0
1	21000001	21100000	3.076099e+02	0	0
1	21100001	21200000	3.281081e+02	0	0
1	21200001	21300000	3.658746e+02	0	0
1	21300001	21400000	3.636794e+02	0	0
1	21400001	21500000	3.304854e+02	0	0
1	21500001	21600000	2.938779e+02	0	0
1	21600001	21700000	2.697134e+02	0	0
1	21700001	21800000	2.576547e+02	0	0
1	21800001	21900000	2.444605e+02	0	0
1	21900001	22000000	2.365173e+02	0	0
1	22000001	22100000	2.893182e+02	0	0
1	22100001	22200000	3.115634e+02	0	0
1	22200001	22300000	2.592948e+02	0	0
1	22300001	22400000	2.262990e+02	0	0
1	22400001	22500000	2.291931e+02	0	0
1	22500001	22600000	2.221642e+02	0	0
1	22600001	22700000	2.764781e+02	0	0
1	22700001	22800000	3.459305e+02	0	0
1	22800001	22900000	3.667156e+02	0	0
1	22900001	23000000	3.433600e+02	0	0
1	23000001	23100000	3.110783e+02	0	0
1	23100001	23200000	2.925057e+02	0	0
1	23200001	23300000	3.005265e+02	0	0
1	23300001	23400000	3.076425e+02	0	0
1	23400001	23500000	2.961708e+02	0	0
1	23500001	23600000	2.551115e+02	0	0
1	23600001	23700000	2.179701e+02	0	0
1	23700001	23800000	2.034643e+02	0	0
1	23800001	23900000	2.003438e+02	0	0
1	23900001	24000000	2.186131e+02	0	0
1	24000001	24100000	2.279486e+02	0	0
1	24100001	24200000	2.447257e+02	0	0
1	24200001	24300000	2.822384e+02	0	0
1	24300001	24400000	3.112049e+02	0	0
1	24400001	24500000	2.821207e+02	0	0
1	24500001	24600000	2.262162e+02	0	0
1	24600001	24700000	1.964024e+02	0	0
1	24700001	24800000	2.298638e+02	0	0
1	24800001	24900000	2.375801e+02	0	0
1	24900001	25000000	2.204139e+02	0	0
1	25000001	25100000	2.060492e+02	0	0
1	25100001	25200000	1.900875e+02	0	0
1	25200001	25300000	1.720459e+02	0	0
