chr	start	end	txplus	txminus
1	11869	14409	1	0
1	14404	29570	0	1
1	17369	17436	0	1
1	29554	31109	1	0
1	30366	30503	1	0
1	34554	36081	0	1
1	52473	53312	1	0
1	57598	64116	1	0
1	65419	71585	1	0
1	89295	133723	0	1
1	89551	91105	0	1
1	131025	134836	1	0
1	135141	135895	0	1
1	137682	137965	0	1
1	139790	140339	0	1
1	141474	173862	0	1
1	157784	157887	0	1
1	160446	161525	1	0
1	182696	184174	1	0
1	185217	195411	0	1
1	187891	187958	0	1
1	257864	359681	0	1
1	266855	268655	1	0
1	347982	348366	0	1
1	358857	366052	1	0
1	365389	522928	0	1
1	439870	440232	1	0
1	450703	451697	0	1
1	487101	489906	1	0
1	491225	493241	0	1
1	516376	516479	0	1
1	586071	827796	0	1
1	587629	594768	1	0
1	629062	629433	1	0
1	629640	630683	1	0
1	631074	632616	1	0
1	632325	632413	0	1
1	632757	633438	1	0
1	633535	633741	1	0
1	633696	634376	1	0
1	634376	634922	1	0
1	674842	675265	1	0
1	685679	686673	0	1
1	722092	724903	1	0
1	725885	778626	0	1
1	758233	758336	0	1
1	760911	761989	1	0
1	778747	810065	1	0
1	781937	782050	1	0
1	800879	817712	0	1
1	817371	819837	1	0
1	825138	859446	1	0
1	826206	827522	0	1
1	860226	868202	1	0
1	868071	876903	0	1
1	873292	874349	1	0
1	874529	877234	0	1
1	904834	915976	1	0
1	911435	914948	1	0
1	914171	914971	1	0
1	916870	919692	0	1
1	923928	944581	1	0
1	944203	959309	0	1
1	960584	965719	1	0
1	966482	975865	1	0
1	975204	982093	0	1
1	995966	998051	0	1
1	998962	1000172	0	1
1	1001138	1014540	1	0
1	1008076	1008229	0	1
1	1011997	1013193	0	1
1	1020120	1056118	1	0
1	1055033	1056116	1	0
1	1059708	1069355	1	0
1	1062208	1063288	0	1
1	1070967	1074306	0	1
1	1081818	1116361	0	1
1	1097585	1104598	1	0
1	1137017	1144056	1	0
1	1167104	1167198	1	0
1	1167863	1167952	1	0
1	1169005	1169087	1	0
1	1169357	1170343	1	0
1	1173056	1179555	0	1
1	1173880	1197936	1	0
1	1203508	1206592	0	1
1	1211340	1214153	0	1
1	1216908	1232067	0	1
1	1232237	1235041	1	0
1	1242453	1246722	0	1
1	1249777	1251334	0	1
1	1253909	1273864	0	1
1	1275223	1280420	1	0
1	1280436	1292029	1	0
1	1292391	1307930	0	1
1	1296110	1296170	0	1
1	1308597	1311677	1	0
1	1311585	1324687	0	1
1	1312502	1312566	0	1
1	1317581	1318689	0	1
1	1324756	1328896	1	0
1	1331280	1335314	1	0
1	1335276	1349418	0	1
1	1339650	1339708	0	1
1	1352689	1361777	0	1
1	1373730	1375495	0	1
1	1378666	1379032	1	0
1	1385711	1399335	0	1
1	1399520	1402046	1	0
1	1401909	1407293	0	1
1	1405460	1405752	0	1
1	1409096	1410618	1	0
1	1418420	1421769	0	1
1	1420245	1422691	1	0
1	1426128	1427787	1	0
1	1430539	1434573	0	1
1	1434861	1442882	1	0
1	1449689	1470163	1	0
1	1471765	1497848	1	0
1	1503250	1509452	1	0
1	1512162	1534685	1	0
1	1534778	1540624	0	1
1	1541673	1574863	0	1
1	1574102	1575879	1	0
1	1583510	1583909	0	1
1	1598012	1600135	0	1
1	1600314	1602703	1	0
1	1613758	1615795	0	1
1	1615415	1630610	1	0
1	1632163	1635263	1	0
1	1635227	1659012	0	1
1	1659325	1662602	1	0
1	1659529	1692795	0	1
1	1671990	1674397	1	0
1	1699942	1701782	1	0
1	1702379	1724357	0	1
1	1724512	1737251	1	0
1	1724838	1745999	0	1
1	1751232	1780457	0	1
1	1785285	1891117	0	1
1	1891471	1892658	1	0
1	1915108	1917296	1	0
1	1917590	1919279	0	1
1	1921951	2003837	0	1
1	2013213	2015639	0	1
1	2019329	2030758	1	0
1	2049203	2050070	0	1
1	2050411	2185395	1	0
1	2141084	2145279	0	1
1	2181794	2184389	0	1
1	2184461	2212720	0	1
1	2212523	2220738	1	0
1	2228319	2310213	1	0
1	2315040	2323085	1	0
1	2321253	2391707	0	1
1	2326201	2326693	0	1
1	2350414	2352820	0	1
1	2363061	2363628	0	1
1	2391775	2405442	1	0
1	2403964	2413797	0	1
1	2425980	2505532	1	0
1	2492300	2493258	0	1
1	2493437	2494479	0	1
1	2508537	2526596	0	1
1	2528745	2530263	0	1
1	2530064	2547460	1	0
1	2549920	2557031	0	1
1	2555639	2565382	1	0
1	2566410	2569888	1	0
1	2581560	2584533	1	0
1	2586491	2591469	1	0
1	2590639	2633016	0	1
1	2632568	2636620	1	0
1	2635976	2801717	0	1
1	2768091	2784733	1	0
1	2773603	2776473	1	0
1	2811850	2812692	0	1
1	2814056	2817767	1	0
1	2814432	2814998	0	1
1	2960658	2968707	0	1
1	3021467	3022903	1	0
1	3059615	3068437	0	1
1	3069168	3438621	1	0
1	3127975	3128035	1	0
1	3132927	3133709	0	1
1	3205988	3208664	1	0
1	3306636	3310096	0	1
1	3313052	3323149	0	1
1	3367815	3373928	0	1
1	3454665	3481113	1	0
1	3487246	3487627	1	0
1	3487951	3611508	0	1
1	3560695	3560790	0	1
1	3623190	3624743	0	1
1	3625015	3630127	1	0
1	3630767	3652761	0	1
1	3652516	3736201	1	0
1	3658938	3668772	0	1
1	3712200	3714298	0	1
1	3735511	3747373	0	1
1	3736943	3737103	1	0
1	3752445	3771645	1	0
1	3772655	3775982	1	0
1	3778559	3796498	0	1
1	3782815	3783111	1	0
1	3785008	3785538	1	0
1	3812086	3857214	0	1
1	3857267	3885429	1	0
1	3889125	3900272	0	1
1	3900352	3917225	1	0
1	3940486	3955262	1	0
1	3944547	3949024	0	1
1	3976133	4012704	1	0
1	4012921	4019508	0	1
1	4175528	4175899	0	1
1	4412027	4424689	1	0
1	4479131	4484375	0	1
1	4551735	4552145	0	1
1	4571481	4594016	1	0
1	4654609	4792534	1	0
1	4730211	4734992	0	1
1	4963954	4973298	0	1
1	4973381	4981568	1	0
1	5086459	5090899	0	1
1	5301928	5307394	0	1
1	5478736	5493057	0	1
1	5480787	5482028	0	1
1	5492978	5494674	1	0
1	5554747	5554881	1	0
1	5561709	5668295	0	1
1	5564071	5564143	1	0
1	5862672	5862741	0	1
1	5862811	5992473	0	1
1	5990927	6101193	1	0
1	6101787	6180321	0	1
1	6185020	6209389	0	1
1	6204840	6205780	0	1
1	6206119	6221299	1	0
1	6221193	6235972	0	1
1	6234692	6239444	1	0
1	6244179	6245578	1	0
1	6247353	6261098	0	1
1	6264269	6394391	0	1
1	6393555	6394391	1	0
1	6412418	6424670	0	1
1	6424776	6461367	1	0
1	6429834	6429896	0	1
1	6443034	6447006	0	1
1	6460786	6466195	0	1
1	6466092	6520061	0	1
1	6521347	6554513	0	1
1	6540854	6540964	1	0
1	6547905	6548619	1	0
1	6555307	6579755	1	0
1	6579994	6589280	1	0
1	6590724	6614607	0	1
1	6613731	6624030	1	0
1	6624866	6635586	1	0
1	6634168	6701924	0	1
1	6724637	6730012	1	0
1	6767954	6770038	1	0
1	6783892	6784843	0	1
1	6785454	7769706	1	0
1	6834333	6834618	0	1
